Wavelength (nm),Absorbance
900.0, 2.624
899.0, 2.632
898.0, 2.650
897.0, 2.658
896.0, 2.667
895.0, 2.676
894.0, 2.685
893.0, 2.704
892.0, 2.704
891.0, 2.714
890.0, 2.735
889.0, 2.736
888.0, 2.736
887.0, 2.735
886.0, 2.745
885.0, 2.743
884.0, 2.752
883.0, 2.740
882.0, 2.739
881.0, 2.748
880.0, 2.736
879.0, 2.724
878.0, 2.723
877.0, 2.702
876.0, 2.691
875.0, 2.672
874.0, 2.653
873.0, 2.626
872.0, 2.586
871.0, 2.556
870.0, 2.516
869.0, 2.466
868.0, 2.422
867.0, 2.377
866.0, 2.324
865.0, 2.272
864.0, 2.223
863.0, 2.164
862.0, 2.112
861.0, 2.054
860.0, 2.001
859.0, 1.943
858.0, 1.892
857.0, 1.835
856.0, 1.788
855.0, 1.736
854.0, 1.693
853.0, 1.645
852.0, 1.604
851.0, 1.564
850.0, 1.522
849.0, 1.484
848.0, 1.446
847.0, 1.412
846.0, 1.376
845.0, 1.344
844.0, 1.311
843.0, 1.284
842.0, 1.255
841.0, 1.230
840.0, 1.204
839.0, 1.182
838.0, 1.161
837.0, 1.139
836.0, 1.122
835.0, 1.104
834.0, 1.089
833.0, 1.076
832.0, 1.062
831.0, 1.051
830.0, 1.039
829.0, 1.030
828.0, 1.021
827.0, 1.014
826.0, 1.007
825.0, 1.000
824.0, 0.995
823.0, 0.988
822.0, 0.982
821.0, 0.975
820.0, 0.969
819.0, 0.962
818.0, 0.954
817.0, 0.947
816.0, 0.937
815.0, 0.929
814.0, 0.921
813.0, 0.911
812.0, 0.903
811.0, 0.894
810.0, 0.887
809.0, 0.878
808.0, 0.872
807.0, 0.865
806.0, 0.858
805.0, 0.852
804.0, 0.846
803.0, 0.841
802.0, 0.835
801.0, 0.832
800.0, 0.828
799.0, 0.824
798.0, 0.821
797.0, 0.819
796.0, 0.817
795.0, 0.814
794.0, 0.812
793.0, 0.811
792.0, 0.809
791.0, 0.808
790.0, 0.806
789.0, 0.805
788.0, 0.803
787.0, 0.801
786.0, 0.799
785.0, 0.797
784.0, 0.794
783.0, 0.791
782.0, 0.788
781.0, 0.785
780.0, 0.782
779.0, 0.778
778.0, 0.774
777.0, 0.769
776.0, 0.765
775.0, 0.760
774.0, 0.755
773.0, 0.749
772.0, 0.743
771.0, 0.737
770.0, 0.731
769.0, 0.724
768.0, 0.717
767.0, 0.709
766.0, 0.701
765.0, 0.693
764.0, 0.684
763.0, 0.674
762.0, 0.666
761.0, 0.655
760.0, 0.642
759.0, 0.632
758.0, 0.620
757.0, 0.609
756.0, 0.597
755.0, 0.585
754.0, 0.574
753.0, 0.561
752.0, 0.548
751.0, 0.536
750.0, 0.521
749.0, 0.508
748.0, 0.496
747.0, 0.482
746.0, 0.469
745.0, 0.455
744.0, 0.443
743.0, 0.431
742.0, 0.418
741.0, 0.407
740.0, 0.396
739.0, 0.383
738.0, 0.373
737.0, 0.363
736.0, 0.351
735.0, 0.342
734.0, 0.332
733.0, 0.323
732.0, 0.314
731.0, 0.305
730.0, 0.298
729.0, 0.291
728.0, 0.283
727.0, 0.276
726.0, 0.269
725.0, 0.263
724.0, 0.256
723.0, 0.249
722.0, 0.244
721.0, 0.238
720.0, 0.232
719.0, 0.227
718.0, 0.222
717.0, 0.218
716.0, 0.212
715.0, 0.208
714.0, 0.203
713.0, 0.199
712.0, 0.195
711.0, 0.190
710.0, 0.186
709.0, 0.182
708.0, 0.178
707.0, 0.174
706.0, 0.171
705.0, 0.166
704.0, 0.163
703.0, 0.159
702.0, 0.156
701.0, 0.152
700.0, 0.149
####,####
 Gain : ,3
 Light Source : ,2
 Mode : ,D2
 Time : ,22/02/2016-14:29:05
####,####
