Wavelength (nm),Absorbance
1100.0, 1.401
1099.0, 1.390
1098.0, 1.381
1097.0, 1.371
1096.0, 1.360
1095.0, 1.350
1094.0, 1.340
1093.0, 1.330
1092.0, 1.321
1091.0, 1.311
1090.0, 1.301
1089.0, 1.293
1088.0, 1.283
1087.0, 1.274
1086.0, 1.265
1085.0, 1.256
1084.0, 1.247
1083.0, 1.238
1082.0, 1.230
1081.0, 1.222
1080.0, 1.214
1079.0, 1.206
1078.0, 1.198
1077.0, 1.190
1076.0, 1.183
1075.0, 1.175
1074.0, 1.168
1073.0, 1.162
1072.0, 1.155
1071.0, 1.149
1070.0, 1.143
1069.0, 1.137
1068.0, 1.132
1067.0, 1.125
1066.0, 1.119
1065.0, 1.113
1064.0, 1.107
1063.0, 1.101
1062.0, 1.094
1061.0, 1.090
1060.0, 1.083
1059.0, 1.078
1058.0, 1.073
1057.0, 1.069
1056.0, 1.066
1055.0, 1.063
1054.0, 1.060
1053.0, 1.059
1052.0, 1.058
1051.0, 1.058
1050.0, 1.059
1049.0, 1.060
1048.0, 1.063
1047.0, 1.066
1046.0, 1.070
1045.0, 1.075
1044.0, 1.082
1043.0, 1.091
1042.0, 1.101
1041.0, 1.113
1040.0, 1.120
1039.0, 1.120
1038.0, 1.101
1037.0, 1.063
1036.0, 1.007
1035.0, 0.940
1034.0, 0.871
1033.0, 0.808
1032.0, 0.755
1031.0, 0.711
1030.0, 0.676
1029.0, 0.649
1028.0, 0.626
1027.0, 0.610
1026.0, 0.601
1025.0, 0.599
1024.0, 0.604
1023.0, 0.616
1022.0, 0.633
1021.0, 0.653
1020.0, 0.674
1019.0, 0.693
1018.0, 0.709
1017.0, 0.721
1016.0, 0.729
1015.0, 0.735
1014.0, 0.739
1013.0, 0.742
1012.0, 0.746
1011.0, 0.749
1010.0, 0.751
1009.0, 0.753
1008.0, 0.756
1007.0, 0.757
1006.0, 0.759
1005.0, 0.761
1004.0, 0.763
1003.0, 0.765
1002.0, 0.767
1001.0, 0.768
1000.0,0
999.0,0
998.0,0
997.0,0
996.0,0
995.0,0
994.0,0
993.0,0
992.0,0
991.0,0
990.0,0
989.0,0
988.0,0
987.0,0
986.0,0
985.0,0
984.0,0
983.0,0
982.0,0
981.0,0
980.0,0
979.0,0
978.0,0
977.0,0
976.0,0
975.0,0
974.0,0
973.0,0
972.0,0
971.0,0
970.0,0
969.0,0
968.0,0
967.0,0
966.0,0
965.0,0
964.0,0
963.0,0
962.0,0
961.0,0
960.0,0
959.0,0
958.0,0
957.0,0
956.0, 0.000
955.0, 0.005
954.0, 0.009
953.0, 0.013
