Wavelength (nm),Absorbance
1100.0, 1.401
1099.0, 1.390
1098.0, 1.380
1097.0, 1.370
1096.0, 1.359
1095.0, 1.350
1094.0, 1.340
1093.0, 1.329
1092.0, 1.320
1091.0, 1.310
1090.0, 1.301
1089.0, 1.292
1088.0, 1.282
1087.0, 1.273
1086.0, 1.265
1085.0, 1.255
1084.0, 1.247
1083.0, 1.237
1082.0, 1.229
1081.0, 1.221
1080.0, 1.213
1079.0, 1.205
1078.0, 1.198
1077.0, 1.189
1076.0, 1.182
1075.0, 1.174
1074.0, 1.168
1073.0, 1.161
1072.0, 1.155
1071.0, 1.148
1070.0, 1.142
1069.0, 1.137
1068.0, 1.131
1067.0, 1.125
1066.0, 1.118
1065.0, 1.112
1064.0, 1.106
1063.0, 1.100
1062.0, 1.094
1061.0, 1.088
1060.0, 1.082
1059.0, 1.077
1058.0, 1.073
1057.0, 1.068
1056.0, 1.065
1055.0, 1.062
1054.0, 1.059
1053.0, 1.058
1052.0, 1.057
1051.0, 1.057
1050.0, 1.058
1049.0, 1.059
1048.0, 1.062
1047.0, 1.065
1046.0, 1.069
1045.0, 1.074
1044.0, 1.082
1043.0, 1.090
1042.0, 1.100
1041.0, 1.112
1040.0, 1.120
1039.0, 1.118
1038.0, 1.100
1037.0, 1.061
1036.0, 1.005
1035.0, 0.938
1034.0, 0.869
1033.0, 0.806
1032.0, 0.754
1031.0, 0.709
1030.0, 0.675
1029.0, 0.648
1028.0, 0.625
1027.0, 0.609
1026.0, 0.600
1025.0, 0.599
1024.0, 0.604
1023.0, 0.615
1022.0, 0.632
1021.0, 0.653
1020.0, 0.674
1019.0, 0.693
1018.0, 0.709
1017.0, 0.720
1016.0, 0.729
1015.0, 0.734
1014.0, 0.739
1013.0, 0.742
1012.0, 0.745
1011.0, 0.748
1010.0, 0.751
1009.0, 0.753
1008.0, 0.755
1007.0, 0.757
1006.0, 0.759
1005.0, 0.761
1004.0, 0.763
1003.0, 0.765
1002.0, 0.766
1001.0, 0.768
1000.0, -0.078
999.0, -0.077
998.0, -0.076
997.0, -0.075
996.0, -0.074
995.0, -0.073
994.0, -0.073
993.0, -0.072
992.0, -0.070
991.0, -0.069
990.0, -0.069
989.0, -0.067
988.0, -0.066
987.0, -0.065
986.0, -0.064
985.0, -0.063
984.0, -0.061
983.0, -0.060
982.0, -0.059
981.0, -0.057
980.0, -0.056
979.0, -0.054
978.0, -0.053
977.0, -0.051
976.0, -0.049
975.0, -0.048
974.0, -0.046
973.0, -0.044
972.0, -0.042
971.0, -0.040
970.0, -0.038
969.0, -0.036
968.0, -0.033
967.0, -0.031
