Wavelength (nm),Absorbance
900.0, 2.527
898.0, 2.543
896.0, 2.560
894.0, 2.587
892.0, 2.595
890.0, 2.626
888.0, 2.626
886.0, 2.634
884.0, 2.641
882.0, 2.649
880.0, 2.636
878.0, 2.634
876.0, 2.612
874.0, 2.573
872.0, 2.529
870.0, 2.460
868.0, 2.383
866.0, 2.298
864.0, 2.198
862.0, 2.099
860.0, 1.995
858.0, 1.892
856.0, 1.787
854.0, 1.694
852.0, 1.606
850.0, 1.525
848.0, 1.451
846.0, 1.381
844.0, 1.317
842.0, 1.260
840.0, 1.209
838.0, 1.166
836.0, 1.127
834.0, 1.096
832.0, 1.067
830.0, 1.046
828.0, 1.027
826.0, 1.014
824.0, 1.002
822.0, 0.990
820.0, 0.977
818.0, 0.964
816.0, 0.948
814.0, 0.928
812.0, 0.913
810.0, 0.897
808.0, 0.882
806.0, 0.869
804.0, 0.857
802.0, 0.846
800.0, 0.840
798.0, 0.834
796.0, 0.829
794.0, 0.826
792.0, 0.824
790.0, 0.820
788.0, 0.816
786.0, 0.812
784.0, 0.809
782.0, 0.805
780.0, 0.797
778.0, 0.789
776.0, 0.781
774.0, 0.771
772.0, 0.758
770.0, 0.747
768.0, 0.732
766.0, 0.717
764.0, 0.700
762.0, 0.682
760.0, 0.656
758.0, 0.635
756.0, 0.612
754.0, 0.588
752.0, 0.561
750.0, 0.535
748.0, 0.510
746.0, 0.483
744.0, 0.456
742.0, 0.430
740.0, 0.408
738.0, 0.385
736.0, 0.364
734.0, 0.344
732.0, 0.327
730.0, 0.308
728.0, 0.297
726.0, 0.283
724.0, 0.269
722.0, 0.257
720.0, 0.245
718.0, 0.234
716.0, 0.225
714.0, 0.216
712.0, 0.209
710.0, 0.199
708.0, 0.191
706.0, 0.183
704.0, 0.176
702.0, 0.166
700.0, 0.162
####,####
 Gain : ,3
 Light Source : ,D2 lamp
 Mode : ,Absorbance
 Time : ,23/02/2016-11:07:32
####,####
