Time (seconds),Absorbance
0,2.355
10,2.355
20,2.375
30,2.355
40,2.355
50,2.355
60,2.355
70,2.355
80,2.375
90,2.375
100,2.355
110,2.355
120,2.355
130,2.355
140,2.355
150,2.355
160,2.375
170,2.355
180,2.355
190,2.355
200,2.355
####,####
 Gain : ,3
 Light Source : ,2
 Mode : ,D2 lamp
 Time : ,23/02/2016-09:51:49
####,####
