Time (seconds),Absorbance
0.0,0.000
0.1,0.000
0.2,0.000
0.3,0.000
0.4,0.000
0.5,0.000
0.6,0.000
0.7,0.000
0.8,0.000
0.9,0.000
1.0,0.000
####,####
 Gain : ,3
 Light Source : ,2
 Mode : ,D2 lamp
 Time : ,22/02/2016-16:38:57
####,####
