Wavelength (nm),Absorbance
829.4, 1.031
829.2, 1.029
829.0, 1.027
828.8, 1.026
828.6, 1.024
828.4, 1.022
828.2, 1.021
828.0, 1.020
827.8, 1.018
827.6, 1.017
827.4, 1.016
827.2, 1.014
827.0, 1.013
826.8, 1.012
826.6, 1.010
826.4, 1.009
826.2, 1.008
826.0, 1.006
825.8, 1.005
825.6, 1.004
825.4, 1.003
825.2, 1.001
825.0, 1.000
824.8, 0.998
824.6, 0.997
824.4, 0.996
824.2, 0.995
824.0, 0.994
823.8, 0.993
823.6, 0.992
823.4, 0.991
823.2, 0.989
823.0, 0.988
822.8, 0.987
822.6, 0.985
822.4, 0.984
822.2, 0.983
822.0, 0.982
821.8, 0.981
821.6, 0.979
821.4, 0.978
821.2, 0.976
821.0, 0.975
820.8, 0.974
820.6, 0.974
820.4, 0.973
820.2, 0.971
820.0, 0.970
819.8, 0.968
819.6, 0.967
819.4, 0.966
819.2, 0.964
819.0, 0.963
818.8, 0.962
818.6, 0.960
818.4, 0.959
818.2, 0.958
818.0, 0.956
817.8, 0.954
817.6, 0.953
817.4, 0.951
817.2, 0.949
817.0, 0.947
816.8, 0.946
816.6, 0.944
816.4, 0.943
816.2, 0.942
816.0, 0.940
815.8, 0.938
815.6, 0.936
815.4, 0.934
815.2, 0.933
815.0, 0.931
814.8, 0.930
814.6, 0.927
814.4, 0.926
814.2, 0.923
814.0, 0.922
813.8, 0.921
813.6, 0.918
813.4, 0.916
813.2, 0.914
813.0, 0.912
812.8, 0.911
812.6, 0.910
812.4, 0.908
812.2, 0.907
812.0, 0.905
811.8, 0.903
811.6, 0.901
811.4, 0.899
811.2, 0.898
811.0, 0.896
810.8, 0.894
810.6, 0.893
810.4, 0.891
810.2, 0.889
810.0, 0.888
809.8, 0.886
809.6, 0.884
809.4, 0.883
809.2, 0.882
809.0, 0.881
808.8, 0.880
808.6, 0.878
808.4, 0.877
808.2, 0.876
808.0, 0.875
807.8, 0.873
807.6, 0.872
807.4, 0.870
807.2, 0.869
807.0, 0.867
806.8, 0.866
806.6, 0.864
806.4, 0.863
806.2, 0.861
806.0, 0.860
805.8, 0.859
805.6, 0.858
805.4, 0.857
805.2, 0.856
805.0, 0.855
804.8, 0.854
804.6, 0.853
804.4, 0.851
804.2, 0.850
804.0, 0.849
803.8, 0.848
803.6, 0.847
803.4, 0.846
803.2, 0.845
803.0, 0.844
802.8, 0.844
802.6, 0.843
802.4, 0.842
802.2, 0.841
802.0, 0.840
801.8, 0.839
801.6, 0.839
801.4, 0.837
801.2, 0.836
801.0, 0.835
800.8, 0.835
800.6, 0.834
800.4, 0.833
800.2, 0.833
800.0, 0.833
799.8, -0.041
####,####
 Gain : ,3
 Light Source : ,D2 lamp
 Mode : ,Absorbance
 Time : ,23/02/2016-11:25:12
####,####
