Wavelength (nm),Absorbance
1100.0, 1.376
1099.0, 1.366
1098.0, 1.357
1097.0, 1.347
1096.0, 1.336
1095.0, 1.326
1094.0, 1.316
1093.0, 1.306
1092.0, 1.296
1091.0, 1.287
1090.0, 1.277
1089.0, 1.268
1088.0, 1.260
1087.0, 1.251
1086.0, 1.240
1085.0, 1.233
1084.0, 1.224
1083.0, 1.216
1082.0, 1.208
1081.0, 1.198
1080.0, 1.191
1079.0, 1.184
1078.0, 1.177
1077.0, 1.169
1076.0, 1.161
1075.0, 1.153
1074.0, 1.147
1073.0, 1.140
1072.0, 1.135
1071.0, 1.128
1070.0, 1.124
1069.0, 1.118
1068.0, 1.111
1067.0, 1.105
1066.0, 1.099
1065.0, 1.092
1064.0, 1.088
1063.0, 1.083
1062.0, 1.077
1061.0, 1.072
1060.0, 1.066
1059.0, 1.059
1058.0, 1.055
1057.0, 1.052
1056.0, 1.048
1055.0, 1.045
1054.0, 1.045
1053.0, 1.043
1052.0, 1.044
1051.0, 1.043
1050.0, 1.044
1049.0, 1.046
1048.0, 1.050
1047.0, 1.056
1046.0, 1.060
1045.0, 1.067
1044.0, 1.072
1043.0, 1.083
1042.0, 1.097
1041.0, 1.110
1040.0, 1.120
1039.0, 1.120
1038.0, 1.102
1037.0, 1.060
1036.0, 0.999
1035.0, 0.927
1034.0, 0.854
1033.0, 0.790
1032.0, 0.734
1031.0, 0.687
1030.0, 0.651
1029.0, 0.620
1028.0, 0.595
1027.0, 0.580
1026.0, 0.573
1025.0, 0.569
1024.0, 0.571
1023.0, 0.582
1022.0, 0.596
1021.0, 0.618
1020.0, 0.641
1019.0, 0.660
1018.0, 0.678
1017.0, 0.692
1016.0, 0.702
1015.0, 0.708
1014.0, 0.713
1013.0, 0.715
1012.0, 0.721
1011.0, 0.724
1010.0, 0.727
1009.0, 0.729
1008.0, 0.730
1007.0, 0.733
1006.0, 0.735
1005.0, 0.738
1004.0, 0.738
1003.0, 0.741
1002.0, 0.743
1001.0, 0.745
1000.0,0
999.0,0
998.0,0
997.0,0
996.0,0
995.0,0
994.0,0
993.0,0
992.0,0
991.0,0
990.0,0
989.0,0
988.0,0
987.0,0
986.0,0
985.0,0
984.0,0
983.0,0
982.0,0
981.0,0
980.0,0
979.0,0
978.0,0
977.0,0
976.0,0
975.0,0
974.0,0
973.0,0
972.0,0
971.0,0
970.0,0
969.0,0
968.0,0
967.0,0
966.0,0
965.0,0
964.0,0
963.0,0
962.0,0
961.0,0
960.0,0
959.0,0
958.0,0
957.0,0
956.0,0
955.0,0
954.0,0
953.0,0
952.0, 0.001
951.0, 0.005
950.0, 0.010
949.0, 0.016
948.0, 0.022
947.0, 0.031
946.0, 0.035
945.0, 0.043
944.0, 0.052
943.0, 0.061
942.0, 0.071
941.0, 0.080
940.0, 0.090
939.0, 0.101
938.0, 0.116
937.0, 0.128
936.0, 0.143
935.0, 0.157
934.0, 0.177
933.0, 0.195
932.0, 0.215
931.0, 0.241
930.0, 0.265
929.0, 0.288
928.0, 0.319
927.0, 0.352
926.0, 0.389
925.0, 0.425
924.0, 0.468
923.0, 0.519
922.0, 0.574
921.0, 0.628
920.0, 0.700
919.0, 0.779
918.0, 0.866
917.0, 0.954
916.0, 1.068
915.0, 1.188
914.0, 1.318
913.0, 1.443
912.0, 1.592
911.0, 1.748
910.0, 1.914
909.0, 2.058
908.0, 2.203
907.0, 2.320
906.0, 2.391
905.0, 2.440
904.0, 2.467
903.0, 2.489
902.0, 2.503
901.0, 2.519
900.0, 2.527
899.0, 2.535
898.0, 2.552
897.0, 2.552
896.0, 2.569
895.0, 2.578
894.0, 2.577
893.0, 2.596
892.0, 2.605
891.0, 2.615
890.0, 2.616
889.0, 2.616
888.0, 2.637
887.0, 2.646
886.0, 2.645
885.0, 2.643
884.0, 2.652
883.0, 2.640
882.0, 2.639
881.0, 2.648
880.0, 2.647
879.0, 2.635
878.0, 2.624
877.0, 2.613
876.0, 2.602
875.0, 2.582
874.0, 2.573
873.0, 2.555
872.0, 2.529
871.0, 2.497
870.0, 2.460
869.0, 2.427
868.0, 2.383
867.0, 2.338
866.0, 2.293
865.0, 2.248
864.0, 2.198
863.0, 2.148
862.0, 2.099
861.0, 2.044
860.0, 1.995
859.0, 1.939
858.0, 1.891
857.0, 1.833
856.0, 1.786
855.0, 1.738
854.0, 1.694
853.0, 1.648
852.0, 1.607
851.0, 1.568
850.0, 1.526
849.0, 1.488
848.0, 1.450
847.0, 1.416
846.0, 1.380
845.0, 1.350
844.0, 1.317
843.0, 1.290
842.0, 1.260
841.0, 1.236
840.0, 1.210
839.0, 1.187
838.0, 1.167
837.0, 1.146
836.0, 1.128
835.0, 1.110
834.0, 1.095
833.0, 1.082
832.0, 1.068
831.0, 1.057
830.0, 1.046
829.0, 1.037
828.0, 1.028
827.0, 1.021
826.0, 1.015
825.0, 1.008
824.0, 1.003
823.0, 0.995
822.0, 0.991
821.0, 0.984
820.0, 0.978
819.0, 0.972
818.0, 0.964
817.0, 0.956
816.0, 0.948
815.0, 0.938
814.0, 0.931
813.0, 0.922
812.0, 0.915
811.0, 0.904
810.0, 0.896
809.0, 0.888
808.0, 0.883
807.0, 0.876
806.0, 0.867
805.0, 0.863
804.0, 0.857
803.0, 0.853
802.0, 0.847
801.0, 0.842
800.0, 0.839
799.0, 0.837
798.0, 0.835
797.0, 0.831
796.0, 0.829
795.0, 0.827
794.0, 0.827
793.0, 0.826
792.0, 0.824
791.0, 0.823
790.0, 0.820
789.0, 0.818
788.0, 0.818
787.0, 0.815
786.0, 0.814
785.0, 0.811
784.0, 0.810
783.0, 0.808
782.0, 0.805
781.0, 0.801
780.0, 0.798
779.0, 0.796
778.0, 0.791
777.0, 0.786
776.0, 0.781
775.0, 0.777
774.0, 0.771
773.0, 0.766
772.0, 0.760
771.0, 0.754
770.0, 0.748
769.0, 0.740
768.0, 0.734
767.0, 0.726
766.0, 0.718
765.0, 0.710
764.0, 0.701
763.0, 0.690
762.0, 0.681
761.0, 0.670
760.0, 0.657
759.0, 0.649
758.0, 0.636
757.0, 0.626
756.0, 0.613
755.0, 0.600
754.0, 0.588
753.0, 0.576
752.0, 0.563
751.0, 0.551
750.0, 0.535
749.0, 0.522
748.0, 0.511
747.0, 0.496
746.0, 0.484
745.0, 0.468
744.0, 0.456
743.0, 0.444
742.0, 0.430
741.0, 0.420
740.0, 0.409
739.0, 0.396
738.0, 0.385
737.0, 0.375
736.0, 0.363
735.0, 0.354
734.0, 0.344
733.0, 0.336
732.0, 0.328
731.0, 0.318
730.0, 0.310
729.0, 0.304
728.0, 0.295
727.0, 0.289
726.0, 0.281
725.0, 0.274
724.0, 0.268
723.0, 0.261
722.0, 0.255
721.0, 0.251
720.0, 0.244
719.0, 0.239
718.0, 0.234
717.0, 0.232
716.0, 0.226
715.0, 0.221
714.0, 0.217
713.0, 0.210
712.0, 0.208
711.0, 0.203
710.0, 0.199
709.0, 0.196
708.0, 0.192
707.0, 0.188
706.0, 0.184
705.0, 0.179
704.0, 0.175
703.0, 0.172
702.0, 0.169
701.0, 0.166
700.0, 0.162
699.0, 0.159
698.0, 0.154
697.0, 0.152
696.0, 0.148
695.0, 0.148
694.0, 0.143
693.0, 0.138
692.0, 0.135
691.0, 0.133
690.0, 0.130
689.0, 0.127
688.0, 0.124
687.0, 0.123
686.0, 0.118
685.0, 0.117
684.0, 0.114
683.0, 0.110
682.0, 0.108
681.0, 0.104
680.0, 0.103
679.0, 0.099
678.0, 0.097
677.0, 0.092
676.0, 0.092
675.0, 0.088
674.0, 0.084
673.0, 0.083
672.0, 0.079
671.0, 0.077
670.0, 0.075
669.0, 0.072
668.0, 0.070
667.0, 0.068
666.0, 0.065
665.0, 0.064
664.0, 0.062
663.0, 0.059
662.0, 0.057
661.0, 0.055
660.0, 0.052
659.0, 0.049
658.0, 0.046
657.0, 0.045
656.0, 0.043
655.0, 0.041
654.0, 0.040
653.0, 0.037
652.0, 0.035
