Wavelength (nm),Absorbance
900.0, 2.527
898.0, 2.543
896.0, 2.569
894.0, 2.577
892.0, 2.595
890.0, 2.616
888.0, 2.626
886.0, 2.634
884.0, 2.641
882.0, 2.639
880.0, 2.636
878.0, 2.624
876.0, 2.602
874.0, 2.573
872.0, 2.521
870.0, 2.460
868.0, 2.383
866.0, 2.293
864.0, 2.198
862.0, 2.096
860.0, 1.993
858.0, 1.889
856.0, 1.784
854.0, 1.693
852.0, 1.604
850.0, 1.523
848.0, 1.449
846.0, 1.379
844.0, 1.315
842.0, 1.257
840.0, 1.207
838.0, 1.163
836.0, 1.126
834.0, 1.094
832.0, 1.067
830.0, 1.044
828.0, 1.027
826.0, 1.015
824.0, 1.002
822.0, 0.989
820.0, 0.975
818.0, 0.961
816.0, 0.945
814.0, 0.927
812.0, 0.912
810.0, 0.894
808.0, 0.879
806.0, 0.866
804.0, 0.855
802.0, 0.844
800.0, 0.837
798.0, 0.830
796.0, 0.827
794.0, 0.822
792.0, 0.820
790.0, 0.818
788.0, 0.814
786.0, 0.810
784.0, 0.806
782.0, 0.800
780.0, 0.795
778.0, 0.787
776.0, 0.780
774.0, 0.768
772.0, 0.757
770.0, 0.743
768.0, 0.729
766.0, 0.714
764.0, 0.695
762.0, 0.678
760.0, 0.655
758.0, 0.632
756.0, 0.609
754.0, 0.588
752.0, 0.560
750.0, 0.532
748.0, 0.507
746.0, 0.480
744.0, 0.454
742.0, 0.428
740.0, 0.407
738.0, 0.383
736.0, 0.362
734.0, 0.341
732.0, 0.325
730.0, 0.306
728.0, 0.291
726.0, 0.280
724.0, 0.266
722.0, 0.255
720.0, 0.242
718.0, 0.232
716.0, 0.223
714.0, 0.212
712.0, 0.204
710.0, 0.198
708.0, 0.189
706.0, 0.181
704.0, 0.173
702.0, 0.167
700.0, 0.159
####,####
 Gain : ,3
 Light Source : ,D2 lamp
 Mode : ,Absorbance
 Time : ,23/02/2016-11:05:04
####,####
